query_id,domain,bm25_weight,dense_weight,fixed_mrr,adaptive_mrr,fixed_ndcg,adaptive_ndcg,fixed_precision,adaptive_precision,fixed_recall,adaptive_recall
arguana-test-education-egtuscpih-pro03a,argumentation,0.303417,0.696583,0.2,0.16666666666666666,0.38685280723454163,0.3562071871080222,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-2720,medical,0.3926,0.6074,1.0,1.0,0.2758471541718662,0.2758471541718662,0.3,0.3,0.08333333333333333,0.08333333333333333
nfcorpus-PLAIN-2770,medical,0.372567,0.627433,0.25,0.5,0.2109640213770539,0.2499466561865465,0.3,0.3,0.07317073170731707,0.07317073170731707
nfcorpus-PLAIN-2343,medical,0.396133,0.603867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact-1389,scientific,0.385,0.615,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
arguana-test-culture-mmctyshwbcp-con03a,argumentation,0.28515,0.71485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-philosophy-pppthbtcb-con02a,argumentation,0.293767,0.706233,0.125,0.125,0.31546487678572877,0.31546487678572877,0.1,0.1,1.0,1.0
arguana-test-philosophy-elhbrd-con01a,argumentation,0.29995,0.70005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact-922,scientific,0.343283,0.656717,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-1557,medical,0.341833,0.658167,0.3333333333333333,0.3333333333333333,0.17947710508581735,0.1884441521277154,0.2,0.2,0.07692307692307693,0.07692307692307693
scifact-525,scientific,0.342317,0.657683,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-1185,scientific,0.3687,0.6313,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-1020,scientific,0.3847,0.6153,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-587,scientific,0.3815,0.6185,0.16666666666666666,0.14285714285714285,0.3562071871080222,0.3333333333333333,0.1,0.1,1.0,1.0
fiqa-8072,finance,0.39605,0.60395,0.3333333333333333,0.3333333333333333,0.23463936301137822,0.23463936301137822,0.1,0.1,0.3333333333333333,0.3333333333333333
scifact-775,scientific,0.3947,0.6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus-PLAIN-3053,medical,0.338517,0.661483,0.5,0.14285714285714285,0.2960819109658653,0.1564262420075855,0.1,0.1,0.3333333333333333,0.3333333333333333
nfcorpus-PLAIN-2430,medical,0.39545,0.60455,1.0,1.0,0.4323181322709947,0.5135285497500328,0.3,0.4,0.06521739130434782,0.08695652173913043
scifact-421,scientific,0.381733,0.618267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus-PLAIN-2450,medical,0.386767,0.613233,0.5,0.5,0.2336508082431053,0.2336508082431053,0.2,0.2,0.05263157894736842,0.05263157894736842
scifact-94,scientific,0.3849,0.6151,0.2,0.25,0.38685280723454163,0.43067655807339306,0.1,0.1,1.0,1.0
fiqa-7747,finance,0.4015,0.5985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact-1163,scientific,0.334867,0.665133,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
arguana-test-environment-aiahwagit-con01a,argumentation,0.270267,0.729733,0.2,0.2,0.38685280723454163,0.38685280723454163,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-468,medical,0.367583,0.632417,0.3333333333333333,1.0,0.3408604297166064,0.521256019952062,0.2,0.2,0.2,0.2
scifact-554,scientific,0.379317,0.620683,0.2,0.25,0.38685280723454163,0.43067655807339306,0.1,0.1,1.0,1.0
arguana-test-environment-aeghhgwpe-con03a,argumentation,0.291483,0.708517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-education-ufsdfkhbwu-con01a,argumentation,0.307133,0.692867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-politics-cdmaggpdgdf-con03a,argumentation,0.2938,0.7062,0.5,0.5,0.6309297535714575,0.6309297535714575,0.1,0.1,1.0,1.0
scifact-715,scientific,0.39795,0.60205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus-PLAIN-112,medical,0.36385,0.63615,1.0,1.0,0.5381649329067913,0.6854478064369682,0.4,0.5,0.07142857142857142,0.08928571428571429
nfcorpus-PLAIN-1236,medical,0.325617,0.674383,1.0,1.0,0.3391602052736161,0.3391602052736161,0.1,0.1,0.2,0.2
arguana-test-international-iiahwagit-con04a,argumentation,0.268667,0.731333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact-314,scientific,0.405583,0.594417,0.25,0.25,0.43067655807339306,0.43067655807339306,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-1516,medical,0.278867,0.721133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-health-ahiahbgbsp-con03a,argumentation,0.335767,0.664233,0.14285714285714285,0.1111111111111111,0.3333333333333333,0.3010299956639812,0.1,0.1,1.0,1.0
fiqa-10979,finance,0.40095,0.59905,1.0,1.0,0.5413996682199069,0.5585075862632192,0.2,0.2,0.5,0.5
arguana-test-law-cplgpshwdp-pro02a,argumentation,0.301317,0.698683,0.5,0.5,0.6309297535714575,0.6309297535714575,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-2610,medical,0.370167,0.629833,1.0,1.0,0.30130218377711837,0.3898257374834892,0.4,0.5,0.06557377049180328,0.08196721311475409
arguana-test-law-hrilpgwhwr-pro01a,argumentation,0.319567,0.680433,0.1111111111111111,0.125,0.3010299956639812,0.31546487678572877,0.1,0.1,1.0,1.0
fiqa-6133,finance,0.42935,0.57065,0.3333333333333333,0.5,0.3065735963827292,0.38685280723454163,0.1,0.1,0.5,0.5
scifact-793,scientific,0.37095,0.62905,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-1132,scientific,0.382717,0.617283,0.0,0.1111111111111111,0.0,0.18457569677956817,0.0,0.1,0.0,0.5
arguana-test-economy-thsptr-con05a,argumentation,0.323583,0.676417,0.1111111111111111,0.1,0.3010299956639812,0.2890648263178879,0.1,0.1,1.0,1.0
scifact-659,scientific,0.38405,0.61595,0.1111111111111111,0.14285714285714285,0.3010299956639812,0.3333333333333333,0.1,0.1,1.0,1.0
fiqa-9871,finance,0.380867,0.619133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus-PLAIN-2240,medical,0.295483,0.704517,1.0,1.0,0.37850091886658266,0.2934556883974402,0.3,0.2,0.2727272727272727,0.18181818181818182
fiqa-10674,finance,0.409967,0.590033,1.0,1.0,0.5294362295028773,0.664550862590272,0.2,0.3,0.5,0.75
arguana-test-free-speech-debate-nshbbsbfb-con03a,argumentation,0.28955,0.71045,0.1,0.14285714285714285,0.2890648263178879,0.3333333333333333,0.1,0.1,1.0,1.0
arguana-test-politics-oepghbrnsl-pro03a,argumentation,0.312333,0.687667,0.2,0.2,0.38685280723454163,0.38685280723454163,0.1,0.1,1.0,1.0
arguana-test-politics-cdmaggpdgdf-pro04a,argumentation,0.289267,0.710733,0.3333333333333333,0.5,0.5,0.6309297535714575,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-2520,medical,0.384717,0.615283,0.3333333333333333,0.3333333333333333,0.03668196104968002,0.03668196104968002,0.1,0.1,0.0136986301369863,0.0136986301369863
nfcorpus-PLAIN-2570,medical,0.39325,0.60675,0.5,0.5,0.16014043519656038,0.16014043519656038,0.1,0.1,0.025,0.025
arguana-test-politics-gvhbhlsbr-con03a,argumentation,0.296717,0.703283,0.3333333333333333,0.25,0.5,0.43067655807339306,0.1,0.1,1.0,1.0
fiqa-9126,finance,0.414367,0.585633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-international-ssiarcmhb-con03a,argumentation,0.313333,0.686667,0.16666666666666666,0.2,0.3562071871080222,0.38685280723454163,0.1,0.1,1.0,1.0
fiqa-945,finance,0.4002,0.5998,0.3333333333333333,0.5,0.5,0.6309297535714575,0.1,0.1,1.0,1.0
scifact-1089,scientific,0.31315,0.68685,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
fiqa-659,finance,0.39555,0.60445,1.0,1.0,0.5232512984721256,0.5517854393872873,0.5,0.5,0.5,0.5
fiqa-2318,finance,0.390517,0.609483,0.16666666666666666,0.16666666666666666,0.3562071871080222,0.3562071871080222,0.1,0.1,1.0,1.0
scifact-410,scientific,0.344283,0.655717,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-1303,scientific,0.41035,0.58965,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-395,medical,0.388317,0.611683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa-7803,finance,0.396233,0.603767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa-9108,finance,0.3909,0.6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus-PLAIN-987,medical,0.284383,0.715617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arguana-test-law-sdiflhrdffe-pro02a,argumentation,0.314867,0.685133,0.125,0.125,0.31546487678572877,0.31546487678572877,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-2480,medical,0.38885,0.61115,0.5,0.5,0.21631529265870736,0.18563113965656242,0.3,0.3,0.16666666666666666,0.16666666666666666
fiqa-6909,finance,0.39955,0.60045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact-1292,scientific,0.361667,0.638333,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-982,scientific,0.356383,0.643617,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-1579,medical,0.313733,0.686267,1.0,0.5,0.3391602052736161,0.21398626473452756,0.1,0.1,0.2,0.2
fiqa-5125,finance,0.397583,0.602417,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-248,scientific,0.362533,0.637467,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
fiqa-7109,finance,0.410233,0.589767,0.5,0.5,0.4441228664487979,0.4632423659320675,0.2,0.2,0.6666666666666666,0.6666666666666666
nfcorpus-PLAIN-1441,medical,0.41975,0.58025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiqa-7124,finance,0.363683,0.636317,1.0,1.0,0.3903800499921017,0.3903800499921017,0.1,0.1,0.25,0.25
nfcorpus-PLAIN-1635,medical,0.427683,0.572317,1.0,1.0,0.84860265890399,0.841492960259019,0.8,0.8,0.018561484918793503,0.018561484918793503
nfcorpus-PLAIN-1741,medical,0.407567,0.592433,1.0,1.0,1.0,1.0,1.0,1.0,0.023809523809523808,0.023809523809523808
scifact-936,scientific,0.3657,0.6343,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
scifact-985,scientific,0.35205,0.64795,1.0,1.0,1.0,1.0,0.1,0.1,1.0,1.0
nfcorpus-PLAIN-3342,medical,0.402383,0.597617,1.0,0.5,0.625704968030342,0.45250815297345076,0.2,0.2,0.6666666666666666,0.6666666666666666
scifact-783,scientific,0.381633,0.618367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
