query,v3_bm25_weight,v4_bm25_weight,source_document,v3_mrr,v4_mrr
sprint sprint goal,0.149885,0.0312916666666666,"ixed and does not change during the sprint. •​ Sprint Goal: A single objective that gives the team a unified purpose for the Sprint. •​ No changes: During a Sprint, no changes are made that endanger the Sprint Goal. •​ Quality standards: Quality does not decrease during a Sprint. •​ Sprint Backlog: The set of Product Backlog items selected for the Sprint plus the plan for delivering them. Events Within a Sprint: 1.​ Sprint Planning – Define what to do and how to do it. 2.​ Daily Scrum – 15-minut",0.3333333333333333,0.3333333333333333
model agile,0.174863,0.3156983333333329,"allows the Product Owner to continuously reprioritize the backlog based on the product's stage, market feedback, and business strategy, ensuring the team always works on the most valuable items at any given lifecycle phase. UNIT 2: Model Selection & Scenario-Based Questions Q10. Gaming company – continuous improvement based on player feedback. Which model? Recommended Model: Agile Scrum (Iterative & Incremental) Justification: A gaming company that wants to continuously improve graphics, gamepla",0.125,0.14285714285714285
inertia scrum master,0.021932,0.0038,This inertia manifests as: •​ Reluctance to attend Daily Scrums ('we're too busy for meetings'). •​ Clinging to old reporting structures and hierarchical decision-making. •​ Resistance to cross-functional collaboration ('that's not my job'). •​ Fear of transparency and public accountability. Overcoming Team Inertia: •​ The Scrum Master must coach and guide the team patiently. •​ Leadership must demonstrate commitment to Agile values. •​ Small early wins in sprints help build confidence and buy-i,1.0,1.0
management uses scrum,0.326787,0.4737416666666658,"nagement involves strategically managing a product from its inception to its retirement. The Product Life Cycle consists of four stages: Introduction, Growth, Maturity, and Decline. Agile product management uses Scrum to adapt the backlog and strategy at each stage. 1. Introduction Stage: The product is launched. Focus is on building core features, acquiring early adopters, and gathering feedback. Sprints focus on MVP (Minimum Viable Product) features. 2. Growth Stage: Sales and users increase r",0.5,1.0
end sprint completed,0.202225,0.0775999999999999,"t Completed Analysis: •​ Days 1 & 2: Team was significantly behind schedule (only 5 hrs/day vs ideal 10 hrs/day). •​ Day 2 was the worst point — behind by 10 hours (actual remaining: 30, ideal: 20). •​ Days 3 & 4: Team accelerated (15 hrs/day) and caught up. •​ Sprint completed on time with 0 remaining work. •​ Pattern: Initially behind, recovered at the end — indicates slow start and sprint crunch at end. While sprint was completed, this is a warning sign for future sprints. Q36. Burndown: 72 h",1.0,1.0
spike spike,0.134768,0.0095333333333333,"k-In-Progress (WIP) limits are set for each column to prevent overloading. •​ Lead Time: Time from card creation to completion — tracks delivery speed. •​ Cycle Time: Time from when work starts to when it's done — tracks team efficiency. •​ Cumulative Flow Diagram: Shows how many items are in each stage over time, revealing bottlenecks. Q21. Explain Spike for New Technology with example (complex requirement, proof of concept) What is a Spike? A Spike is a special type of user story or task in Ag",1.0,1.0
voting dot voting,0.008396,0.0017,"Method of effort estimation 1. Dot Voting: Dot Voting is a democratic estimation/prioritization technique where team members use physical or virtual dots to vote on items. Process: Each participant is given a fixed number of dots (e.g., 5). They distribute their dots among the backlog items based on priority or effort. Items with the most dots are prioritized first. Use Case: More commonly used for prioritization than effort estimation. Useful in backlog refinement sessions to quickly surface co",1.0,1.0
backlog key responsibilities,0.080419,0.1208416666666668,"oduct resulting from the work of the Scrum Team. The PO is the sole person responsible for managing the Product Backlog. Key Responsibilities: •​ Developing and explicitly communicating the Product Goal. •​ Creating and clearly communicating Product Backlog items (User Stories). •​ Ordering (prioritizing) the Product Backlog to best achieve goals. •​ Ensuring the Product Backlog is transparent, visible, and understood. •​ Acting as the voice of the customer and stakeholders. •​ Accepting or reje",0.25,0.25
sprint agile definition,0.142985,0.0010333333333333," Difficult Welcomed Team collaboration Moderate High Q3. Define Sprint in Agile Definition of Sprint: A Sprint (also called an Iteration) is a fixed-length, time-boxed period during which a Scrum team works to complete a set of pre-selected Product Backlog Items (PBIs) and deliver a potentially shippable product Increment. Sprints are the heartbeat of Scrum, where ideas are turned into value. Key Properties of a Sprint: •​ Duration: Usually 1 to 4 weeks (most commonly 2 weeks). The duration is f",1.0,1.0
agile adoption personality,0.046729,0.0281833333333333,"n. •​ Retrospectives are used to surface resistance and address it openly. Personality Types and Agile Adoption: Different personality types respond differently to Agile adoption: Personality Type Behavior in Agile Adoption Approach Innovators Embrace Agile enthusiastically, drive change Give them leadership roles in adoption Early Adopters Open to change, quick learners Use as champions to influence others Early Majority Accept change when they see it working Show them success stories Late Majo",1.0,1.0
