query,source_document,model,predicted_bm25_weight,predicted_dense_weight,preferred_retriever,best_baseline,bm25_mrr,dense_mrr,v3_mrr,bm25_ndcg,dense_ndcg,v3_ndcg,v3_rank,best_baseline_mrr,v3_mrr_gain,bm25_top_score,bm25_mean_score,bm25_score_gap,dense_top_similarity,dense_mean_similarity,dense_similarity_gap,overlap_ratio,rank_agreement,bm25_result_count,dense_result_count,failure_severity,retriever_winner,v3_status,query_type,signal_type,failure_amount,strong_bm25_signal,strong_dense_signal,analysis_overlap_ratio,analysis_rank_agreement
planning sprint planning," the previous one. During a Sprint, no changes are made that would endanger the Sprint Goal, quality doesn't decrease, and the Product Backlog is refined as needed. A Sprint can be cancelled by the Product Owner if the Sprint Goal becomes obsolete. ii) Sprint Planning: Sprint Planning initiates the Sprint by laying out the work to be performed. It is time-boxed to a maximum of 8 hours for a one-month Sprint. Three topics addressed in Sprint Planning: 5.​ Why is this Sprint valuable? – The PO pro",Extra Trees,0.317252,0.682748,Dense,Dense,0.0,1.0,0.5,0.0,1.0,0.6309297535714575,2,1.0,-0.5,6.957622701990809,5.587421805391952,0.5336229800936918,0.6379288435411915,0.5803737189867985,0.0020870987505394,0.1764705882352941,0.5666666666666667,10.0,10.0,0.5,Dense,Worse,Dense-win-correct,Mixed,0.5,False,False,0.1764705882352941,0.5666666666666667
backlog key responsibilities,"oduct resulting from the work of the Scrum Team. The PO is the sole person responsible for managing the Product Backlog. Key Responsibilities: •​ Developing and explicitly communicating the Product Goal. •​ Creating and clearly communicating Product Backlog items (User Stories). •​ Ordering (prioritizing) the Product Backlog to best achieve goals. •​ Ensuring the Product Backlog is transparent, visible, and understood. •​ Acting as the voice of the customer and stakeholders. •​ Accepting or reje",Extra Trees,0.080419,0.919581,Dense,Dense,0.25,0.3333333333333333,0.25,0.430676558073393,0.5,0.430676558073393,4,0.3333333333333333,-0.0833333333333333,5.531251432960513,3.4924353328216355,1.352915095578313,0.5603186985731278,0.5076459844823186,0.0307699294228018,0.3333333333333333,0.6799999999999999,10.0,10.0,0.0833333333333333,Dense,Worse,Dense-win-correct,Mixed,0.08333333333333331,False,False,0.3333333333333333,0.6799999999999999
hours sprint,": 100 hours | Sprint Duration: 10 days Daily Completed: Day1=8, Day2=12, Day3=10, Day4=5, Day5=15, Day6=10, Day7=10, Day8=10, Day9=10, Day10=10 Ideal Burndown Rate: 100 / 10 = 10 hours/day Day Done (hrs) Actual Remaining Ideal Remaining Variance Status 0 0 100 100 0 Start 1 8 92 90 -2 Slightly Behind 2 12 80 80 0 On Track 3 10 70 70 0 On Track 4 5 65 60 -5 Behind 5 15 50 50 0 On Track 6 10 40 40 0 On Track 7 10 30 30 0 On Track Day Done (hrs) Actual Remaining Ideal Remaining Variance Status 8 10",Extra Trees,0.227508,0.772492,Dense,Dense,0.0,0.1111111111111111,0.1,0.0,0.3010299956639812,0.2890648263178879,10,0.1111111111111111,-0.0111111111111111,4.304605992981841,2.7564013038819297,0.9745781760735248,0.6019377431381703,0.5419375555953756,0.0392018697163898,0.25,0.6,10.0,10.0,0.0111111111111111,Dense,Worse,Dense-win-correct,Mixed,0.0111111111111111,False,False,0.25,0.6
spike time," Characteristics of a Spike: •​ Time-boxed: Has a fixed time limit (e.g., 2 days, 1 sprint). •​ Output is knowledge, not working code (though a PoC may be produced). •​ Results are shared with the team to inform future planning. Q22. Explain 3-5-3 Rule of Project Organization in Detail What is the 3-5-3 Rule? The 3-5-3 rule is a structural framework in Scrum that defines the number of roles, events, and artifacts in the Scrum framework. It helps teams and organizations remember the core componen",Extra Trees,0.084281,0.915719,Dense,Dense,0.0,0.5,0.5,0.0,0.6309297535714575,0.6309297535714575,2,0.5,0.0,8.44557502559774,3.6281902834762767,2.262207596142251,0.5450621761511582,0.4552645783083642,0.0391606608242011,0.25,0.85,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Mixed,0.0,False,False,0.25,0.85
agile definition sprint," Difficult Welcomed Team collaboration Moderate High Q3. Define Sprint in Agile Definition of Sprint: A Sprint (also called an Iteration) is a fixed-length, time-boxed period during which a Scrum team works to complete a set of pre-selected Product Backlog Items (PBIs) and deliver a potentially shippable product Increment. Sprints are the heartbeat of Scrum, where ideas are turned into value. Key Properties of a Sprint: •​ Duration: Usually 1 to 4 weeks (most commonly 2 weeks). The duration is f",Extra Trees,0.131901,0.868099,Dense,Dense,0.5,1.0,1.0,0.6309297535714575,1.0,1.0,1,1.0,0.0,4.712874475930866,3.4789560432960167,0.4144997581355927,0.7048357529497838,0.5841139718994129,0.0746626399346849,0.1111111111111111,0.55,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Strong-Dense,0.0,False,True,0.1111111111111111,0.55
sprint success,"ools that contributed positively to the sprint's success. These should be continued and possibly reinforced. Examples: •​ 'Our Daily Scrums were focused and finished in 15 minutes.' •​ 'Code reviews were thorough and caught bugs early.' •​ 'The team communicated well about blockers.' Question 2: What didn't go well? (Stop Doing / Improve) The team openly identifies problems, inefficiencies, and friction points encountered during the sprint. This is done in a blame-free, constructive environment.",Extra Trees,0.244729,0.755271,Dense,Dense,0.0,0.2,0.2,0.0,0.3868528072345416,0.3868528072345416,5,0.2,0.0,4.401978568656182,0.8995951502649513,0.1759302071211719,0.5526269882720868,0.540625296446127,0.00151187571229,0.1764705882352941,0.6666666666666666,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Mixed,0.0,False,False,0.1764705882352941,0.6666666666666666
team shaped,fits of Self-Organization: •​ Higher motivation and ownership — people are more committed to decisions they make themselves. •​ Better quality — team members take pride in their work. •​ Faster decision-making — no waiting for management approval on technical decisions. •​ Increased innovation — team members feel empowered to try new approaches. Q16. Summarize the Importance of T-Shaped Team What is a T-Shaped Professional? A T-shaped person has deep expertise in one skill (the vertical bar of t,Extra Trees,0.002989,0.997011,Dense,Dense,0.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0.0,2.155155345362731,2.0696718416456776,0.0040527367547569,0.5552327890310685,0.4548504960944616,0.0646310383624469,0.25,0.875,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Strong-Dense,0.0,False,True,0.25,0.875
indian customer want,"nch a website that allows sales to customers inside India' User Story (Structured Format): As an Indian customer, I want to browse and purchase products on a website, so that I can conveniently shop online and have items delivered to my doorstep within India. Acceptance Criteria: •​ Website is accessible from all major Indian cities. •​ All prices are displayed in Indian Rupees (INR). •​ Payment via UPI, Net Banking, Credit/Debit Cards (Indian banks). •​ Delivery available across all serviceable",Extra Trees,0.059584,0.940416,Dense,Dense,0.5,1.0,1.0,0.6309297535714575,1.0,1.0,1,1.0,0.0,14.338441662769906,5.839230192196435,4.648948926802824,0.5684513591376049,0.4448496162256141,0.0248052774154008,0.25,0.925,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Mixed,0.0,False,False,0.25,0.925
shaped team shaped,fits of Self-Organization: •​ Higher motivation and ownership — people are more committed to decisions they make themselves. •​ Better quality — team members take pride in their work. •​ Faster decision-making — no waiting for management approval on technical decisions. •​ Increased innovation — team members feel empowered to try new approaches. Q16. Summarize the Importance of T-Shaped Team What is a T-Shaped Professional? A T-shaped person has deep expertise in one skill (the vertical bar of t,Extra Trees,0.013769,0.986231,Dense,Dense,0.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0.0,2.155155345362731,2.0696718416456776,0.0040527367547569,0.5528540736453964,0.4413276749510348,0.0708026925774943,0.25,0.8,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Strong-Dense,0.0,False,True,0.25,0.8
end sprint completed,"t Completed Analysis: •​ Days 1 & 2: Team was significantly behind schedule (only 5 hrs/day vs ideal 10 hrs/day). •​ Day 2 was the worst point — behind by 10 hours (actual remaining: 30, ideal: 20). •​ Days 3 & 4: Team accelerated (15 hrs/day) and caught up. •​ Sprint completed on time with 0 remaining work. •​ Pattern: Initially behind, recovered at the end — indicates slow start and sprint crunch at end. While sprint was completed, this is a warning sign for future sprints. Q36. Burndown: 72 h",Extra Trees,0.202225,0.797775,Dense,Dense,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1,1.0,0.0,5.756628785971463,4.036038436829054,0.0267777603417815,0.5538140235445668,0.5256058307643616,0.023577431780716,0.25,0.775,10.0,10.0,0.0,Dense,Equal,Dense-win-correct,Mixed,0.0,False,False,0.25,0.775
