query_id,domain,bm25_weight,dense_weight
arguana-test-education-egtuscpih-pro03a,argumentation,0.303417,0.696583
nfcorpus-PLAIN-2720,medical,0.3926,0.6074
nfcorpus-PLAIN-2770,medical,0.372567,0.627433
nfcorpus-PLAIN-2343,medical,0.396133,0.603867
scifact-1389,scientific,0.385,0.615
arguana-test-culture-mmctyshwbcp-con03a,argumentation,0.28515,0.71485
arguana-test-philosophy-pppthbtcb-con02a,argumentation,0.293767,0.706233
arguana-test-philosophy-elhbrd-con01a,argumentation,0.29995,0.70005
scifact-922,scientific,0.343283,0.656717
nfcorpus-PLAIN-1557,medical,0.341833,0.658167
scifact-525,scientific,0.342317,0.657683
scifact-1185,scientific,0.3687,0.6313
scifact-1020,scientific,0.3847,0.6153
scifact-587,scientific,0.3815,0.6185
fiqa-8072,finance,0.39605,0.60395
scifact-775,scientific,0.3947,0.6053
nfcorpus-PLAIN-3053,medical,0.338517,0.661483
nfcorpus-PLAIN-2430,medical,0.39545,0.60455
scifact-421,scientific,0.381733,0.618267
nfcorpus-PLAIN-2450,medical,0.386767,0.613233
scifact-94,scientific,0.3849,0.6151
fiqa-7747,finance,0.4015,0.5985
scifact-1163,scientific,0.334867,0.665133
arguana-test-environment-aiahwagit-con01a,argumentation,0.270267,0.729733
nfcorpus-PLAIN-468,medical,0.367583,0.632417
scifact-554,scientific,0.379317,0.620683
arguana-test-environment-aeghhgwpe-con03a,argumentation,0.291483,0.708517
arguana-test-education-ufsdfkhbwu-con01a,argumentation,0.307133,0.692867
arguana-test-politics-cdmaggpdgdf-con03a,argumentation,0.2938,0.7062
scifact-715,scientific,0.39795,0.60205
nfcorpus-PLAIN-112,medical,0.36385,0.63615
nfcorpus-PLAIN-1236,medical,0.325617,0.674383
arguana-test-international-iiahwagit-con04a,argumentation,0.268667,0.731333
scifact-314,scientific,0.405583,0.594417
nfcorpus-PLAIN-1516,medical,0.278867,0.721133
arguana-test-health-ahiahbgbsp-con03a,argumentation,0.335767,0.664233
fiqa-10979,finance,0.40095,0.59905
arguana-test-law-cplgpshwdp-pro02a,argumentation,0.301317,0.698683
nfcorpus-PLAIN-2610,medical,0.370167,0.629833
arguana-test-law-hrilpgwhwr-pro01a,argumentation,0.319567,0.680433
fiqa-6133,finance,0.42935,0.57065
scifact-793,scientific,0.37095,0.62905
scifact-1132,scientific,0.382717,0.617283
arguana-test-economy-thsptr-con05a,argumentation,0.323583,0.676417
scifact-659,scientific,0.38405,0.61595
fiqa-9871,finance,0.380867,0.619133
nfcorpus-PLAIN-2240,medical,0.295483,0.704517
fiqa-10674,finance,0.409967,0.590033
arguana-test-free-speech-debate-nshbbsbfb-con03a,argumentation,0.28955,0.71045
arguana-test-politics-oepghbrnsl-pro03a,argumentation,0.312333,0.687667
arguana-test-politics-cdmaggpdgdf-pro04a,argumentation,0.289267,0.710733
nfcorpus-PLAIN-2520,medical,0.384717,0.615283
nfcorpus-PLAIN-2570,medical,0.39325,0.60675
arguana-test-politics-gvhbhlsbr-con03a,argumentation,0.296717,0.703283
fiqa-9126,finance,0.414367,0.585633
arguana-test-international-ssiarcmhb-con03a,argumentation,0.313333,0.686667
fiqa-945,finance,0.4002,0.5998
scifact-1089,scientific,0.31315,0.68685
fiqa-659,finance,0.39555,0.60445
fiqa-2318,finance,0.390517,0.609483
scifact-410,scientific,0.344283,0.655717
scifact-1303,scientific,0.41035,0.58965
nfcorpus-PLAIN-395,medical,0.388317,0.611683
fiqa-7803,finance,0.396233,0.603767
fiqa-9108,finance,0.3909,0.6091
nfcorpus-PLAIN-987,medical,0.284383,0.715617
arguana-test-law-sdiflhrdffe-pro02a,argumentation,0.314867,0.685133
nfcorpus-PLAIN-2480,medical,0.38885,0.61115
fiqa-6909,finance,0.39955,0.60045
scifact-1292,scientific,0.361667,0.638333
scifact-982,scientific,0.356383,0.643617
nfcorpus-PLAIN-1579,medical,0.313733,0.686267
fiqa-5125,finance,0.397583,0.602417
scifact-248,scientific,0.362533,0.637467
fiqa-7109,finance,0.410233,0.589767
nfcorpus-PLAIN-1441,medical,0.41975,0.58025
fiqa-7124,finance,0.363683,0.636317
nfcorpus-PLAIN-1635,medical,0.427683,0.572317
nfcorpus-PLAIN-1741,medical,0.407567,0.592433
scifact-936,scientific,0.3657,0.6343
scifact-985,scientific,0.35205,0.64795
nfcorpus-PLAIN-3342,medical,0.402383,0.597617
scifact-783,scientific,0.381633,0.618367
scifact-217,scientific,0.379083,0.620917
arguana-test-health-ahiahbgbsp-con04a,argumentation,0.283483,0.716517
arguana-test-economy-fiahwpamu-con01a,argumentation,0.30615,0.69385
nfcorpus-PLAIN-956,medical,0.3841,0.6159
scifact-693,scientific,0.36515,0.63485
arguana-test-politics-ypppgvhwmv-pro04a,argumentation,0.2704,0.7296
fiqa-5790,finance,0.388917,0.611083
arguana-test-law-ilppppghb-con02a,argumentation,0.3126,0.6874
fiqa-10267,finance,0.360517,0.639483
scifact-1395,scientific,0.3872,0.6128
nfcorpus-PLAIN-33,medical,0.397333,0.602667
scifact-439,scientific,0.3839,0.6161
arguana-test-philosophy-elhbrd-pro01a,argumentation,0.320183,0.679817
fiqa-8005,finance,0.38585,0.61415
nfcorpus-PLAIN-2940,medical,0.3804,0.6196
scifact-598,scientific,0.391,0.609
fiqa-3830,finance,0.384217,0.615783
nfcorpus-PLAIN-3362,medical,0.390667,0.609333
nfcorpus-PLAIN-1995,medical,0.416967,0.583033
scifact-1363,scientific,0.3871,0.6129
arguana-test-digital-freedoms-phwnaccpdt-pro02a,argumentation,0.3007,0.6993
scifact-475,scientific,0.406733,0.593267
nfcorpus-PLAIN-2820,medical,0.378483,0.621517
fiqa-3490,finance,0.404333,0.595667
fiqa-3566,finance,0.400733,0.599267
nfcorpus-PLAIN-2710,medical,0.375017,0.624983
nfcorpus-PLAIN-771,medical,0.325217,0.674783
fiqa-8017,finance,0.394583,0.605417
nfcorpus-PLAIN-332,medical,0.367067,0.632933
fiqa-5549,finance,0.399467,0.600533
scifact-1274,scientific,0.3878,0.6122
scifact-903,scientific,0.328317,0.671683
fiqa-1085,finance,0.41555,0.58445
fiqa-8351,finance,0.405333,0.594667
nfcorpus-PLAIN-1837,medical,0.3817,0.6183
scifact-847,scientific,0.372233,0.627767
fiqa-7590,finance,0.370683,0.629317
nfcorpus-PLAIN-227,medical,0.381683,0.618317
scifact-233,scientific,0.376917,0.623083
scifact-873,scientific,0.383467,0.616533
nfcorpus-PLAIN-418,medical,0.3734,0.6266
scifact-507,scientific,0.366367,0.633633
fiqa-849,finance,0.383317,0.616683
arguana-test-international-gsciidffe-pro03a,argumentation,0.315,0.685
nfcorpus-PLAIN-2124,medical,0.3,0.7
nfcorpus-PLAIN-3382,medical,0.379067,0.620933
arguana-test-free-speech-debate-ldhwprhs-pro02a,argumentation,0.302983,0.697017
arguana-test-law-cpilhbishioe-pro03a,argumentation,0.294383,0.705617
arguana-test-international-glilpdwhsn-pro02a,argumentation,0.321167,0.678833
nfcorpus-PLAIN-1453,medical,0.385483,0.614517
arguana-test-international-epdlhfcefp-pro02a,argumentation,0.303,0.697
scifact-641,scientific,0.351833,0.648167
scifact-1196,scientific,0.382483,0.617517
scifact-820,scientific,0.378433,0.621567
fiqa-4942,finance,0.3726,0.6274
fiqa-9332,finance,0.388033,0.611967
nfcorpus-PLAIN-1752,medical,0.405233,0.594767
arguana-test-science-ascidfakhba-pro01a,argumentation,0.368083,0.631917
scifact-478,scientific,0.36145,0.63855
nfcorpus-PLAIN-1962,medical,0.2779,0.7221
arguana-test-environment-aiahwagit-pro03a,argumentation,0.2819,0.7181
fiqa-1871,finance,0.3923,0.6077
scifact-1370,scientific,0.390933,0.609067
arguana-test-politics-oapdhwinkp-pro01a,argumentation,0.301933,0.698067
scifact-781,scientific,0.376933,0.623067
scifact-72,scientific,0.435217,0.564783
nfcorpus-PLAIN-2009,medical,0.299817,0.700183
scifact-183,scientific,0.377317,0.622683
scifact-269,scientific,0.3579,0.6421
nfcorpus-PLAIN-1679,medical,0.293517,0.706483
fiqa-1469,finance,0.3916,0.6084
fiqa-8834,finance,0.404067,0.595933
nfcorpus-PLAIN-561,medical,0.335617,0.664383
arguana-test-culture-mmctghwbsa-pro02a,argumentation,0.300117,0.699883
fiqa-34,finance,0.390883,0.609117
arguana-test-politics-oglilpdwhsn-pro02a,argumentation,0.321167,0.678833
arguana-test-culture-mmctyshwbcp-pro05a,argumentation,0.2795,0.7205
nfcorpus-PLAIN-3422,medical,0.38315,0.61685
arguana-test-international-bldimehbn-pro02a,argumentation,0.335867,0.664133
fiqa-2516,finance,0.336183,0.663817
fiqa-5155,finance,0.392183,0.607817
nfcorpus-PLAIN-1547,medical,0.361133,0.638867
fiqa-9808,finance,0.379983,0.620017
fiqa-8475,finance,0.373133,0.626867
arguana-test-politics-ypppgvhwmv-pro03a,argumentation,0.3022,0.6978
nfcorpus-PLAIN-2,medical,0.38935,0.61065
arguana-test-politics-oepdlhfcefp-con01a,argumentation,0.30135,0.69865
scifact-129,scientific,0.349667,0.650333
fiqa-5255,finance,0.403117,0.596883
fiqa-5356,finance,0.389717,0.610283
scifact-312,scientific,0.3787,0.6213
nfcorpus-PLAIN-1398,medical,0.322467,0.677533
scifact-536,scientific,0.37795,0.62205
nfcorpus-PLAIN-2840,medical,0.339867,0.660133
fiqa-6959,finance,0.371717,0.628283
fiqa-6907,finance,0.389533,0.610467
fiqa-2885,finance,0.40745,0.59255
fiqa-3125,finance,0.38835,0.61165
fiqa-9164,finance,0.371583,0.628417
fiqa-42,finance,0.389483,0.610517
scifact-1319,scientific,0.394,0.606
arguana-test-science-dssghsdmd-pro03a,argumentation,0.29945,0.70055
scifact-362,scientific,0.378117,0.621883
scifact-1339,scientific,0.340233,0.659767
arguana-test-international-aegmeppghw-con03a,argumentation,0.301417,0.698583
arguana-test-international-epvhwhranet-pro02a,argumentation,0.309333,0.690667
fiqa-4846,finance,0.366633,0.633367
nfcorpus-PLAIN-1897,medical,0.376483,0.623517
scifact-744,scientific,0.378383,0.621617
fiqa-10809,finance,0.393283,0.606717
nfcorpus-PLAIN-1656,medical,0.436233,0.563767
arguana-test-science-cpisydfphwj-pro03a,argumentation,0.319967,0.680033
arguana-test-politics-oeplhbuwhmi-pro02a,argumentation,0.313217,0.686783
arguana-test-culture-cgeeghwmeo-pro01a,argumentation,0.293,0.707
fiqa-2486,finance,0.385617,0.614383
arguana-test-free-speech-debate-fchbjaj-con03a,argumentation,0.321167,0.678833
arguana-test-international-aglhrilhb-pro04a,argumentation,0.298267,0.701733
fiqa-5853,finance,0.407033,0.592967
fiqa-2695,finance,0.369533,0.630467
arguana-test-politics-oapdhwinkp-pro03a,argumentation,0.30235,0.69765
scifact-1062,scientific,0.337617,0.662383
arguana-test-politics-lghwdecm-con02a,argumentation,0.26725,0.73275
scifact-533,scientific,0.381767,0.618233
arguana-test-international-aghbfcpspr-pro03a,argumentation,0.31345,0.68655
fiqa-1306,finance,0.3663,0.6337
fiqa-776,finance,0.372967,0.627033
nfcorpus-PLAIN-850,medical,0.31425,0.68575
nfcorpus-PLAIN-2550,medical,0.370583,0.629417
nfcorpus-PLAIN-934,medical,0.411283,0.588717
nfcorpus-PLAIN-1353,medical,0.284,0.716
scifact-1298,scientific,0.279467,0.720533
nfcorpus-PLAIN-3402,medical,0.388933,0.611067
fiqa-6746,finance,0.372617,0.627383
scifact-385,scientific,0.382583,0.617417
scifact-303,scientific,0.382667,0.617333
nfcorpus-PLAIN-2113,medical,0.373933,0.626067
scifact-759,scientific,0.376067,0.623933
fiqa-9115,finance,0.3988,0.6012
fiqa-8832,finance,0.378917,0.621083
arguana-test-international-glilpdwhsn-con01a,argumentation,0.324,0.676
fiqa-2416,finance,0.383667,0.616333
scifact-1194,scientific,0.377817,0.622183
fiqa-2589,finance,0.385583,0.614417
arguana-test-health-dhgsshbesbc-con03a,argumentation,0.329683,0.670317
scifact-1014,scientific,0.360333,0.639667
nfcorpus-PLAIN-3037,medical,0.411217,0.588783
nfcorpus-PLAIN-838,medical,0.280367,0.719633
arguana-test-sport-aastshsrqsar-pro02a,argumentation,0.28295,0.71705
arguana-test-economy-bepahbtsnrt-con01a,argumentation,0.26485,0.73515
nfcorpus-PLAIN-2408,medical,0.405233,0.594767
fiqa-8230,finance,0.390567,0.609433
arguana-test-digital-freedoms-aihbiahr-con04a,argumentation,0.309783,0.690217
nfcorpus-PLAIN-1473,medical,0.405233,0.594767
nfcorpus-PLAIN-1506,medical,0.339867,0.660133
nfcorpus-PLAIN-344,medical,0.377383,0.622617
nfcorpus-PLAIN-731,medical,0.376933,0.623067
arguana-test-international-aegmeppghw-pro01a,argumentation,0.305583,0.694417
scifact-993,scientific,0.3678,0.6322
arguana-test-international-amehbuaisji-pro03a,argumentation,0.31685,0.68315
arguana-test-environment-ehwsnwu-con02a,argumentation,0.354133,0.645867
fiqa-5808,finance,0.3991,0.6009
nfcorpus-PLAIN-2600,medical,0.390133,0.609867
fiqa-6792,finance,0.379033,0.620967
scifact-514,scientific,0.363867,0.636133
nfcorpus-PLAIN-3074,medical,0.377717,0.622283
fiqa-3528,finance,0.3943,0.6057
arguana-test-health-hgwhwbjfs-pro02a,argumentation,0.303483,0.696517
fiqa-5021,finance,0.408733,0.591267
nfcorpus-PLAIN-3001,medical,0.39665,0.60335
fiqa-10414,finance,0.367117,0.632883
fiqa-3067,finance,0.392217,0.607783
arguana-test-digital-freedoms-piidfiphwu-pro03a,argumentation,0.327667,0.672333
nfcorpus-PLAIN-3063,medical,0.356683,0.643317
fiqa-7936,finance,0.386083,0.613917
nfcorpus-PLAIN-3472,medical,0.393267,0.606733
arguana-test-digital-freedoms-aihwbasmn-con05a,argumentation,0.329817,0.670183
scifact-384,scientific,0.389217,0.610783
arguana-test-free-speech-debate-fsaphgiap-pro02a,argumentation,0.293083,0.706917
fiqa-2579,finance,0.381017,0.618983
fiqa-5206,finance,0.384933,0.615067
scifact-887,scientific,0.385467,0.614533
fiqa-10808,finance,0.389667,0.610333
arguana-test-economy-beghwbh-con03a,argumentation,0.271517,0.728483
arguana-test-international-epvhwhranet-con04a,argumentation,0.2871,0.7129
arguana-test-society-cpisydfphwj-con02a,argumentation,0.313033,0.686967
fiqa-5534,finance,0.36305,0.63695
arguana-test-digital-freedoms-piidfaihbg-con01a,argumentation,0.279683,0.720317
scifact-1012,scientific,0.3043,0.6957
arguana-test-education-egscphsrdt-pro01a,argumentation,0.31855,0.68145
scifact-1216,scientific,0.3561,0.6439
fiqa-2385,finance,0.39405,0.60595
arguana-test-philosophy-pppthbtcb-pro02a,argumentation,0.285133,0.714867
fiqa-5172,finance,0.389967,0.610033
fiqa-6410,finance,0.39835,0.60165
fiqa-1284,finance,0.39535,0.60465
nfcorpus-PLAIN-817,medical,0.408917,0.591083
arguana-test-politics-oeplhbuwhmi-con03a,argumentation,0.2985,0.7015
nfcorpus-PLAIN-2850,medical,0.397683,0.602317
nfcorpus-PLAIN-3251,medical,0.3696,0.6304
arguana-test-international-gsciidffe-pro04a,argumentation,0.293667,0.706333
scifact-1099,scientific,0.387867,0.612133
nfcorpus-PLAIN-3181,medical,0.394617,0.605383
arguana-test-digital-freedoms-piidfaihbg-con03a,argumentation,0.3181,0.6819
scifact-1207,scientific,0.3733,0.6267
scifact-198,scientific,0.400817,0.599183
fiqa-4865,finance,0.379267,0.620733
arguana-test-law-hrpepthwuto-pro02a,argumentation,0.2989,0.7011
fiqa-8544,finance,0.391317,0.608683
arguana-test-culture-thbcsbptwhht-con02a,argumentation,0.26965,0.73035
arguana-test-philosophy-apessghwba-con05a,argumentation,0.33345,0.66655
scifact-636,scientific,0.374817,0.625183
scifact-239,scientific,0.378333,0.621667
nfcorpus-PLAIN-2271,medical,0.306633,0.693367
