query,source_document,model,predicted_bm25_weight,predicted_dense_weight,preferred_retriever,best_baseline,bm25_mrr,dense_mrr,v3_mrr,bm25_ndcg,dense_ndcg,v3_ndcg,v3_rank,best_baseline_mrr,v3_mrr_gain,bm25_top_score,bm25_mean_score,bm25_score_gap,dense_top_similarity,dense_mean_similarity,dense_similarity_gap,overlap_ratio,rank_agreement,bm25_result_count,dense_result_count,failure_severity,retriever_winner,v3_status,query_type,signal_type,failure_amount,strong_bm25_signal,strong_dense_signal,analysis_overlap_ratio,analysis_rank_agreement
control model scrum,"livery. Avoid local optimizations that hurt global performance. Q5. Define Transparency, Inspection, and Adaptation with respect to Empirical Process Control Model Empirical Process Control Model: Scrum is founded on empirical process theory (empiricism), which asserts that knowledge comes from experience and decisions should be made based on what is known. Scrum uses three pillars to uphold empirical process control: 1. Transparency: All aspects of the process must be visible to those responsib",Extra Trees,0.224472,0.775528,BM25,BM25,1.0,0.0,0.125,1.0,0.0,0.3154648767857287,8,1.0,-0.875,10.37613367466714,3.663499189850852,6.800407888110495,0.5299479099214498,0.516731702154507,0.0041746332757555,0.1764705882352941,0.7666666666666666,10.0,10.0,0.875,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.875,True,False,0.1764705882352941,0.7666666666666666
scrum reveals," possible to minimize further deviation. •​ Example: If Daily Scrum reveals a blocker, the team adapts their plan. •​ Sprint Retrospective leads to adaptations in the team's working process. These three pillars are interdependent. Without transparency, inspection is meaningless. Without inspection, adaptation cannot happen correctly. Q6. Elaborate Key Roles: i) Product Owner ii) Scrum Master iii) Developer i) Product Owner (PO): The Product Owner is responsible for maximizing the value of the pr",Extra Trees,0.156271,0.843729,BM25,BM25,1.0,0.0,0.1666666666666666,1.0,0.0,0.3562071871080222,6,1.0,-0.8333333333333334,5.805995330446906,1.633755206453278,4.508802338282569,0.5459599839295818,0.5298261158341855,0.0075958479343329,0.1764705882352941,0.6333333333333333,10.0,10.0,0.8333333333333334,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.8333333333333334,True,False,0.1764705882352941,0.6333333333333333
starts sprint total," by the team each day. As work is completed, it is subtracted from the remaining work. The Actual Burndown Line shows the cumulative story points remaining, which decreases (ideally) as more work is completed. If story points are not being completed fast enough, the actual line will sit above the ideal line. iii) Remaining Work (Y-Axis): The vertical axis shows the total remaining work in story points or hours. It starts at the sprint's total capacity (e.g., 80 hours) at Day 0. A perfectly linea",Extra Trees,0.166267,0.833733,BM25,BM25,1.0,0.2,0.2,1.0,0.3868528072345416,0.3868528072345416,5,1.0,-0.8,7.211770598397647,3.3557151927680477,3.233395763689599,0.5262323462957588,0.4978259520653625,0.0123691216505869,0.1764705882352941,0.5,10.0,10.0,0.8,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.8,True,False,0.1764705882352941,0.5
confirmation acceptance criteria,orgot Password' and enter their email. •​ Then: They receive a password reset email within 2 minutes with a valid 24-hour token. Confirmation of Acceptance Criteria: Confirmation of Acceptance Criteria is the final step in validating a user story. It involves: 38.​ Developer Confirmation: Developer verifies that all AC have been implemented before marking the story as done. 39.​ QA Testing: QA Engineer runs test cases derived from each acceptance criterion to verify correct behavior. 40.​ Produc,Extra Trees,0.018563,0.981437,BM25,BM25,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,3,1.0,-0.6666666666666667,13.745098032547205,5.746693987477398,4.8390201073226855,0.6127732635167232,0.4564239123567694,0.0932317943787676,0.3333333333333333,0.74,10.0,10.0,0.6666666666666667,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.6666666666666667,True,False,0.3333333333333333,0.74
capacity team formula,"ally overloading the sprint. Example: If average velocity over last 3 sprints = 40 story points, the team should not commit to more than ~40 story points in the new sprint. Q31. Justify the total capacity of team with formula and explain with example Team Capacity Formula: Total Team Capacity = Number of Team Members × Sprint Duration (days) × Working Hours per Day × Focus Factor Explanation of Variables: •​ Number of Team Members: Count of available developers (excluding PO and SM if not coding",Extra Trees,0.109364,0.890636,BM25,BM25,1.0,0.5,0.5,1.0,0.6309297535714575,0.6309297535714575,2,1.0,-0.5,11.364879591273247,5.436514180449395,4.625945366119343,0.6140996968523449,0.4756201762749029,0.0188866917805936,0.4285714285714285,0.7666666666666666,10.0,10.0,0.5,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.5,True,False,0.4285714285714285,0.7666666666666666
adaptations team working," possible to minimize further deviation. •​ Example: If Daily Scrum reveals a blocker, the team adapts their plan. •​ Sprint Retrospective leads to adaptations in the team's working process. These three pillars are interdependent. Without transparency, inspection is meaningless. Without inspection, adaptation cannot happen correctly. Q6. Elaborate Key Roles: i) Product Owner ii) Scrum Master iii) Developer i) Product Owner (PO): The Product Owner is responsible for maximizing the value of the pr",Extra Trees,0.043037,0.956963,BM25,BM25,1.0,0.5,0.5,1.0,0.6309297535714575,0.6309297535714575,2,1.0,-0.5,8.243813885023728,4.181041102621278,4.042715561521495,0.5172062025595351,0.4863007294057972,0.0235795156973033,0.1764705882352941,0.7,10.0,10.0,0.5,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.5,True,False,0.1764705882352941,0.7
burndown chart,"iew) 8 3 One-click payment with saved UPI/Card 8 4 Order history with 'Favorite' tagging feature 5 Priori ty Backlog Item Story Points 5 Real-time order confirmation screen with ETA 3 6 A/B testing framework for 3-click vs current flow 5 UNIT 6: Burndown Charts, Sprint Review & Retrospective Q41. Elaborate the features of Burnout Chart: i) Day ii) Story Points Completed iii) Remaining Work What is a Sprint Burndown Chart? A Sprint Burndown Chart is a visual representation of the amount of work r",Extra Trees,0.08798,0.91202,BM25,BM25,1.0,0.5,0.5,1.0,0.6309297535714575,0.6309297535714575,2,1.0,-0.5,6.533439024570048,4.401769345115596,0.0830716276682954,0.592531438161274,0.5063498709308417,0.0227973138324016,0.4285714285714285,0.7833333333333333,10.0,10.0,0.5,BM25,Worse,BM25-win-underweighted,Mixed,0.5,False,False,0.4285714285714285,0.7833333333333333
shirt size described,"nsensus. 2. T-Shirt Size: As described in Q24, T-Shirt sizing assigns relative size labels (XS/S/M/L/XL/XXL) to user stories. Mapping Example: T-Shirt Size Story Points Approx. Effort XS 1 < 1 day S 2 1 day M 5 2–3 days L 8 3–5 days XL 13 1 week XXL 21+ Needs breakdown 3. Three-Point Method (PERT-based): The Three-Point Method estimates effort using three values to account for uncertainty: •​ Optimistic (O): Best-case effort if everything goes well. •​ Pessimistic (P): Worst-case effort if thing",Extra Trees,0.121286,0.878714,BM25,BM25,1.0,0.5,0.5,1.0,0.6309297535714575,0.6309297535714575,2,1.0,-0.5,8.700977492365451,3.0328417579662945,4.057111551895543,0.5189866165849122,0.4166045070694267,0.0154642563622643,0.1764705882352941,0.8333333333333333,10.0,10.0,0.5,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.5,True,False,0.1764705882352941,0.8333333333333333
management uses scrum,"nagement involves strategically managing a product from its inception to its retirement. The Product Life Cycle consists of four stages: Introduction, Growth, Maturity, and Decline. Agile product management uses Scrum to adapt the backlog and strategy at each stage. 1. Introduction Stage: The product is launched. Focus is on building core features, acquiring early adopters, and gathering feedback. Sprints focus on MVP (Minimum Viable Product) features. 2. Growth Stage: Sales and users increase r",Extra Trees,0.326787,0.673213,BM25,BM25,1.0,0.1666666666666666,0.5,1.0,0.3562071871080222,0.6309297535714575,2,1.0,-0.5,6.621783745759543,4.053103536923723,2.157870537768216,0.5880080634259662,0.5650988991411674,0.0130686759655012,0.1764705882352941,0.6666666666666666,10.0,10.0,0.5,BM25,Worse,BM25-win-balanced,Strong-BM25,0.5,True,False,0.1764705882352941,0.6666666666666666
100 hours sprint,": 100 hours | Sprint Duration: 10 days Daily Completed: Day1=8, Day2=12, Day3=10, Day4=5, Day5=15, Day6=10, Day7=10, Day8=10, Day9=10, Day10=10 Ideal Burndown Rate: 100 / 10 = 10 hours/day Day Done (hrs) Actual Remaining Ideal Remaining Variance Status 0 0 100 100 0 Start 1 8 92 90 -2 Slightly Behind 2 12 80 80 0 On Track 3 10 70 70 0 On Track 4 5 65 60 -5 Behind 5 15 50 50 0 On Track 6 10 40 40 0 On Track 7 10 30 30 0 On Track Day Done (hrs) Actual Remaining Ideal Remaining Variance Status 8 10",Extra Trees,0.237808,0.762192,BM25,BM25,1.0,0.3333333333333333,0.5,1.0,0.5,0.6309297535714575,2,1.0,-0.5,9.370734875860933,3.858177597102774,3.099869994560872,0.5696584276699471,0.5245682186451632,0.0256253947804493,0.3333333333333333,0.74,10.0,10.0,0.5,BM25,Worse,BM25-win-underweighted,Strong-BM25,0.5,True,False,0.3333333333333333,0.74
